プロローグ,楽天家ゲルト,村人,人狼なんているわけないじゃん。みんな大げさだなあ
プロローグ,木こりトーマス,村人,何、人狼？奴らがついにこの村にも出るようになったのか・・・？うーむ、そろそろ妻と娘をこっちに呼ぼうかと思っていたのにな・・・厄介なこった。
プロローグ,木こりトーマス,村人,どうやら俺が一番乗り（ゲルト除く）みたいだな。こいつでも用意しておくか。■1.主な参加時間■2.仮・本決定時間の希望■3.特殊ルール等の希望□4.自己紹介
プロローグ,木こりトーマス,村人,■1.不定期に顔を出すが、基本的に20時〜23時頃がメインになる。■2.仮21:00本21:30くらいだろうか。もっとも、皆の意見に極力合わせるつもりだ。■3.特に無い。あえて言うなら、個人戦よりまとめ制の方が好みだというくらいだが・・・Ｇ国だと少々難しいか？□4.見ての通り、木こりをやっているトーマスと言う。妻子とは別居中・・・不仲なんじゃないぞ？ちょっと複雑な訳があってだな・・・
プロローグ,木こりトーマス,村人,時間が取れたから覗きに来たが・・・まだ誰も来ていないだな。何故だ？俺が怖いのか・・・？俺は全然怖くないぞ、見ての通りゆかいな木こりのおじさんだ。・・・単純に、休日前で時間が取れないだけなのかもしれないが。
プロローグ,羊飼いカタリナ,霊能者,トーマスさん怖いのですよ……めそ
プロローグ,木こりトーマス,村人,おお、やっと人が来たか。待っていたぞ、カタリナ・・・ってそうか、やっぱり俺は怖いのか・・・そうだよなー・・・娘に「いないいないばあ」をしたら速攻で泣かれた事のあるような男だものな・・・俺・・・[...はしょげている]
プロローグ,羊飼いカタリナ,霊能者,もしかして、その娘さんは想像の……なんでもないのですよ、ぷよ。だいじょーぶです、怖い人でも怖い人なりにできることが絶対あるのですよっ
プロローグ,木こりトーマス,村人,ああ、そうだなカタリナ。怖がられてもめげてはいけない・・・俺は俺の仕事をきちんとこなすだけだ・・・って、おい、俺の家族を想像だと・・・？失礼な。ちゃんとした本物の娘だ。写真もあるぞ。[...は自分と女性と少女が写っている写真を取り出して見せた。]
プロローグ,羊飼いカタリナ,霊能者,あ、本当なのです。ごめんなさいなのです、めそ。人こないのです
プロローグ,木こりトーマス,村人,そうだな・・・この辺りの時間帯は、人が集まると聞いたことがあるんだが。ここまで集まらないのも珍しいな。ま、まったり人を待つことにするか。取りあえず、お茶でも入れておくかつ旦旦旦旦旦旦旦旦旦旦旦旦旦旦
プロローグ,ならず者ディーター,村人,“元”ならず者です。以後お見知りおきを…
プロローグ,ならず者ディーター,村人,あ、写真は昔のものなのです。お恥ずかしいのですが、これしかなくて…。
プロローグ,木こりトーマス,村人,お、ディーター。よく来てくれたな、俺が歓迎しよう。ま、まずは茶でも飲むがいいさ。・・・む、この集まり具合だと延長戦になるかな。まあ、待つのはなれているから気にはならないが。
プロローグ,パン屋オットー,人狼,どうも、皆様。裏切りの村唯一のパン屋、オットーでございます。
プロローグ,木こりトーマス,村人,む、オットーも来てくれたか。これで半分だな？あと五人来たら夜明けか・・・滑り込みを期待するか、それともいっそ一日待ってフルメンバーを期待するか・・・悩ましいな。
プロローグ,パン屋オットー,人狼,■1.コアタイムは20時から更新、でしょうか。不定期になってしまうかもしれないです。■2.更新の二時間前に仮決定、一時間前に本決定がいいと思っています。■3.特にこだわりはありません。何かやりたい方がいらっしゃれば、それでいいかと。□4.パンは焼けるけれど、他の料理が一切作れません……。どなたか私に料理を教えていただけないでしょうか？とりあえず　つ【よもぎパン】
プロローグ,ならず者ディーター,村人,>>14　トーマスさん、こんばんわ。お茶ありがとうございます。ずず…。ほう、美味ですね。みなさまが集まるまでおいしいお茶を頂きながらまったり致しましょうか。と思いましたらオットーさん。こんばんわ。
プロローグ,ならず者ディーター,村人,■1.メインは20時からになります。■2.仮21:00本21:30あたりを希望してみましょうか。■3.うーん。大分考え込みましたが特に思い浮かばずですねぇ。□4.レディーファーストをモットーに、恐れ多くもみなさまに頼られる紳士でありたい、そう思う次第です。
プロローグ,パン屋オットー,人狼,こんばんわです、トーマスさん。私としては延長でもいいのでフルメンバーがいいですねえ。G国は建国間もないですから、人が集まりにくいのでは？とか勝手に思ってみますけど、さてさてどうなんでしょうねぇ。
プロローグ,木こりトーマス,村人,今読んでいる小説のパン屋がちょうど光線を放ちだした所でオットーの登場か。何というタイミング。料理なら俺が教えてやってもいいが、絵面的にキツいから遠慮することにしよう。・・・「紳士的なディーターは信用するな」と、妻に言われたことがあるんだが・・・まあ、心配することはないだろう。
プロローグ,ならず者ディーター,村人,のんびり待ってフルメンバーになるのもよし、少人数で始まるのもまた一興。どうなりますかねぇ。オットーさん、よもぎパン頂きますね。もぐりもぐり。…ほう、トーマスさんのお茶とあいます。私も料理は苦手でして…。なんせ昔は……、嗚呼お恥ずかしいっ。
プロローグ,ならず者ディーター,村人,そうですよトーマスさん、ご心配には及びません。過去は確かに……、ああ、思い出すだけで顔が…っ！とにかく今は、世のため人のためと思い、日々精進している身であります。ぜひ奥様にお会いして、誤解を解かせて頂きたい。おや、奥様とお嬢様とは別にお住まいで？何やらご事情があるようですね…。
プロローグ,木こりトーマス,村人,・・・ディーターの過去には触れないでおいてやるか。俺の妻に会いたいとな？別にいいが、会って腰を抜かすなよ？自分で言うのも何だが、かなりの美人だ。・・・もちろん、娘もな。事情はまあ・・・あとで話すさ。
プロローグ,木こりトーマス,村人,延長戦突入、滑り込みは無しか。まあ、せっかくならフルメンバーで始まった方が俺的には嬉しいしな。さて、俺は一旦席をはずす。また明日、皆が集まっていると嬉しい。ではな。
プロローグ,ならず者ディーター,村人,美人な奥様とお嬢様でいらっしゃるとは、独り身の私としては羨ましい話です。ご事情は…、よろしいのですよ。トーマスさんが話したいときにお話くださいな。さて、まだ人は集まらなかったようで。明日フルメンバーでの開始となりそうですねぇ。まったりするといたしましょうか。それでは。
プロローグ,楽天家ゲルト,村人,発言の残り回数が 20/20 のままだと更新時刻に失踪しちゃうから気をつけてねー
プロローグ,旅人ニコラス,狩人,どうも。通りすがりの旅人だ。出来ればしばらく、やっかいになるよ。
プロローグ,旅人ニコラス,狩人,よもぎパンと、お茶、もらっていいのかな？冷めてるけど・・・。うまいね。
プロローグ,羊飼いカタリナ,霊能者,失踪阻止なのです
プロローグ,羊飼いカタリナ,霊能者,ゲルトさんがいらっしゃるとはなのです……ぷよ
プロローグ,旅人ニコラス,狩人,議題に答えておくよ。■1.19時以降がメインかな。でもその他の時間帯もちょこちょこと顔出せると思う。■2.仮21:15、本21:45ってところかな。でも皆の希望と誤差範囲だね。■3.特には。通りすがりは慎ましく、ね。□4.訳あって、旅をして回っている。ちょっと探しものがあってね。この村にあるか、調べたくて立ち寄らせてもらった訳だ。
プロローグ,司書クララ,村人,人狼って本の中だけだと思っていたのに…ホントに居るのかしら
プロローグ,司書クララ,村人,■1.22：00?25：00位※不定期になる時あり■2.皆さんに合わせます■3.特にないですね□4.時々、意味不な発言があっても気になさらず
プロローグ,司書クララ,村人,誰もいないのね。グスン…グスン…明日、また来ようかしら…
プロローグ,老人モーリッツ,村人,よーしジージ頑張っちゃうぞ！
プロローグ,老人モーリッツ,村人,■1.超朝方なんじゃ。■2.夜中は眠いから勘弁の。回避なんかはしっかりやるぞ。■3.投票COは無くなったことじゃし、特殊ルールといえば個人戦あたりじゃな。□4.ジージ、みんなのことだーいすき！
プロローグ,老人モーリッツ,村人,というわけで、畑に出てくるぞ。
プロローグ,神父ジムゾン,人狼,■1. 23:00〜01:00 昼間はボチボチ■2. お任せ■3. 特になし□4. 信じるものは救われるのです!!
プロローグ,村娘パメラ,狂人,この村に人狼が出るの？この町で一番の美人と名高い私が真っ先に食べられちゃうかも…私のこと守ってくれるような素敵な王子様、現れないかなぁ☆
プロローグ,村娘パメラ,狂人,■1.基本夜〜朝方かなぁ。日中はほとんど顔出せないと思うわ。■2.仮決定21時、本決定22時くらいがいいかな。■3.特にないわ。王子様はいつか現れるのよ!!私待ってる!!
プロローグ,村娘パメラ,狂人,寝る前にちょっと見に来たんだけど、深夜帯はあんまり人がいないみたいね。人数も私を入れてやっと10人だし、もうちょっと増えてくれないと寂しいなぁ…さて、私もそろそろ寝なきゃ。夜更かしはお肌に悪いし。綺麗でいるためにはそれなりの心がけも大事なんだから！
プロローグ,青年ヨアヒム,占い師,人狼なんて本当にいるのかなぁ。いたら怖いなぁ。
プロローグ,青年ヨアヒム,占い師,■1.本格的には21時以降かなぁ。でも時々のぞいたりはできます。■2.21時以降なら合わせます。■3.特にないです。怖いんでできるだけ隠れていたいけど、頑張ります。
プロローグ,仕立て屋エルナ,村人,人狼が出るって！人狼の…毛皮…！
プロローグ,仕立て屋エルナ,村人,議題は>>41で大体あってるかな。
プロローグ,パン屋オットー,人狼,皆さんおはようございます。新しいパンの研究をしていたらいつの間にか寝てしまいました。とり合えずお昼ご飯にでもどうぞ。置いていきますね。つ【ベーグル】
プロローグ,負傷兵シモン,村人,ずざ〜
プロローグ,負傷兵シモン,村人,■1.不定期。時間があるときに参加する。■2.みんなにあわせるぜ。■3.特になし。
プロローグ,負傷兵シモン,村人,人狼ねえ…まさか本当に来るとは
